tract_geoid,pop20,land_area_sqmi
36005000100,3772,0.6475744014129857
36005000200,4779,0.1748394126797748
36005000400,6272,0.2975646865035222
36005001600,5795,0.1872896628857497
36005001901,2292,0.0791536452265798
36005001902,1613,0.181368014079416
36005001903,2,0.3508660894972217
36005001904,0,0.0316908790751166
36005002001,5007,0.0769879982190342
36005002002,4584,0.0791092434783416
36005002300,4742,0.0404036603859158
36005002400,6,0.2669684070480154
36005002500,5442,0.0492249364032794
36005002701,3080,0.0314997585066133
36005002702,4995,0.060023827676954
36005002800,5853,0.1600733217265619
36005003100,2964,0.0597311622407409
36005003300,3689,0.0588361774371234
36005003500,3726,0.0548284370309329
36005003700,340,0.0640825335680788
36005003800,1683,0.0244777185482909
36005003900,6345,0.083479147709292
36005004001,1739,0.0475465503198777
36005004100,6146,0.0713254239611161
36005004200,7201,0.1866247949686533
36005004300,5883,0.0870254960359644
36005004400,4642,0.1025406251768468
36005004600,1976,0.0522554522460722
36005004800,4184,0.0582373329891464
36005005001,4960,0.0377951542024646
36005005002,6518,0.0439774219658483
36005005100,6459,0.1970839163427665
36005005200,2130,0.0705366172511116
36005005300,4371,0.0278178883222749
36005005400,6804,0.0758752517979706
36005005600,2863,0.0525824807744001
36005005902,2577,0.027161128550509
36005006000,1262,0.1299191292426435
36005006100,3444,0.0937398125738886
36005006200,6769,0.0749053631755861
36005006301,6567,0.3019959809776887
36005006302,19,0.1015201571716867
36005006400,4186,0.0645504893842929
36005006500,6251,0.1010857922432701
36005006700,6893,0.0820192954476536
36005006800,3419,0.059604134630564
36005006900,6964,0.0725787115679075
36005007000,5021,0.079108857376183
36005007100,2789,0.1020321286339804
36005007200,6291,0.0822590648881395
36005007300,4205,0.0541164646504883
36005007400,3536,0.072263652206496
36005007500,6749,0.08788534554315
36005007600,5682,0.0838679525829946
36005007700,1974,0.0435585011237754
36005007800,7037,0.1204171551196812
36005007900,6826,0.0764227446588548
36005008300,6122,0.0825996069920182
36005008400,2587,0.0605365713435649
36005008500,5894,0.0701377737212855
36005008600,4145,0.0724551588771579
36005008700,5976,0.082461382419242
36005008900,3118,0.0425835931733292
36005009000,3911,0.395630001560123
36005009200,6271,0.1198750676890173
36005009301,5551,0.220374756855544
36005009302,512,0.6808649017311512
36005009600,2946,0.2716043356662359
36005009800,5903,0.1997885619637072
36005011000,0,0.7989017370431095
36005011502,4396,0.1298442254238765
36005011701,1554,0.085594987538379
36005011702,0,0.438919775581518
36005011800,5324,0.3821160399072257
36005011900,5703,0.0644786743827947
36005012101,3319,0.0446392010656759
36005012102,1616,0.0191672694590092
36005012300,4766,0.1171152094593978
36005012500,4139,0.0654983701836376
36005012701,2184,0.0419762544778632
36005012901,4923,0.060376338947749
36005013000,1198,0.0448434491075713
36005013100,5390,0.089176857263642
36005013200,6652,0.2333091791683939
36005013300,6064,0.0622280849003588
36005013500,4001,0.0646338874505489
36005013800,3060,0.295504831487431
36005014100,7344,0.0684037889270464
36005014300,1898,0.0500816970931963
36005014400,6046,0.1549246494417304
36005014500,7055,0.0702331409544579
36005014701,6361,0.0534608631851981
36005014702,5081,0.0449059976572633
36005014900,4723,0.0602284618210081
36005015100,5957,0.0806694823012141
36005015200,2593,0.1097727047094436
36005015300,4258,0.0914428908324216
36005015500,2891,0.0443944122971282
36005015700,5542,0.123170063510446
36005015800,1442,0.0626165036719029
36005015900,2481,0.0400005697323452
36005016000,4003,0.19092713132185
36005016100,5243,0.0923266786734399
36005016200,1908,0.069747810541107
36005016300,34,0.2262639730805559
36005016400,1221,0.0635439210568422
36005016500,1097,0.0760011211016717
36005016600,2625,0.1103051395861427
36005016700,3373,0.0794741100182116
36005016900,1586,0.0358742959634668
36005017100,10,0.0674088036643535
36005017300,6395,0.063812262057064
36005017500,6988,0.0585303845275181
36005017701,4754,0.041170073170722
36005017702,4979,0.0544041107586397
36005017901,5124,0.029622915913695
36005017902,3447,0.0299399057858995
36005018101,3299,0.0298171252994671
36005018102,5510,0.0372129121473071
36005018301,4423,0.0262062979123097
36005018302,3686,0.0433538669797213
36005018400,4329,0.1727467389802033
36005018501,3076,0.0710740714558724
36005018502,6442,0.0878776234999781
36005018900,8360,0.1372863445307476
36005019300,6020,0.093161431540317
36005019400,2022,0.3243806397242496
36005019500,7509,0.0848822429536172
36005019700,7213,0.0571770964616513
36005019900,7909,0.0683740590608348
36005020000,5235,0.1320063975119947
36005020100,4345,0.1088070632108037
36005020200,2789,0.04819056872041
36005020400,3129,0.051845411753647
36005020501,7859,0.1042997066113944
36005020502,2462,0.0392847363303146
36005020601,3277,0.0585141682368572
36005020900,4823,0.0511457946422773
36005021001,8946,0.0742883719261553
36005021002,7855,0.0664300346923214
36005021100,5822,0.058558956087254
36005021200,6596,0.0390036539588593
36005021301,1264,0.0239587972471425
36005021302,5830,0.065353967976324
36005021501,4078,0.0355036378912179
36005021502,6360,0.0601265308511397
36005021601,4701,0.0633389008106296
36005021602,6237,0.0638968184297958
36005021700,5006,0.0623593596342803
36005021800,6610,0.1157877902381567
36005021900,1176,0.0551890564470583
36005022000,2511,0.0882668144758394
36005022101,4001,0.0263008929411648
36005022102,5457,0.0302290963026853
36005022200,3968,0.0854015503569242
36005022300,5063,0.0358167667418365
36005022401,2787,0.0328391468947708
36005022403,3275,0.048204854500278
36005022404,4489,0.0357993921446998
36005022500,8141,0.0695068827941453
36005022701,5669,0.0452484702719349
36005022702,1634,0.0182904314568455
36005022703,1699,0.0149267094511874
36005022800,6336,0.0664856334031587
36005022901,5766,0.0470631504173198
36005022902,3401,0.0353673438292348
36005023000,3001,0.061538120342954
36005023100,1464,0.0452291651640053
36005023200,3000,0.0550990946441063
36005023301,4577,0.045989400314274
36005023302,3574,0.024161114778245
36005023501,3570,0.0263321672160108
36005023502,4417,0.0371584717429455
36005023600,2204,0.0355484257416147
36005023702,1179,0.0184912045793136
36005023703,5086,0.0388391744392988
36005023704,3970,0.0260487682316039
36005023800,2750,0.1310994435414608
36005023900,8213,0.0689142159807058
36005024000,4583,0.0925791894851594
36005024100,6331,0.0519929027782293
36005024300,5577,0.0580821199213922
36005024400,2407,0.067845099103563
36005024501,5059,0.0436542544591063
36005024502,3797,0.0386696755916767
36005024600,2297,0.0588558686472116
36005024700,1921,0.0584844383706456
36005024800,3620,0.10730203699661
36005024900,4,0.0672562933117094
36005025000,2672,0.0701590093400081
36005025100,6924,0.0808219926538581
36005025200,2682,0.0736366314824511
36005025300,6234,0.0480538885562683
36005025400,2163,0.0656080231966779
36005025500,8092,0.0651107236164107
36005025600,1908,0.0730825748848708
36005025700,1809,0.0611975782390753
36005026100,2060,0.0683396959687201
36005026300,6788,0.0613029841283711
36005026400,5693,0.1646764316613021
36005026500,7166,0.0780455320314192
36005026601,3328,0.065733892500379
36005026602,6409,0.1171422366104993
36005026701,3983,0.0266893117127089
36005026702,7022,0.0642350439207228
36005026900,4126,0.1474914106845069
36005027300,7939,0.078440900641818
36005027401,5136,0.2707024010237638
36005027402,3553,0.1974020645214468
36005027600,23,0.709654223084445
