tract_geoid,total_kiosks,kiosks_per_sqmi,kiosks_per_1000_pop,link_5g_count,link_1_count
36005000100,0,0.0,0.0,,
36005000200,0,0.0,0.0,,
36005000400,0,0.0,0.0,,
36005001600,0,0.0,0.0,,
36005001901,1,12.63,0.44,0.0,1.0
36005001902,0,0.0,0.0,,
36005001903,0,0.0,0.0,,
36005001904,0,0.0,0.0,,
36005002001,0,0.0,0.0,,
36005002002,0,0.0,0.0,,
36005002300,0,0.0,0.0,,
36005002400,0,0.0,0.0,,
36005002500,4,81.26,0.74,0.0,4.0
36005002701,0,0.0,0.0,,
36005002702,3,49.98,0.6,0.0,3.0
36005002800,0,0.0,0.0,,
36005003100,0,0.0,0.0,,
36005003300,0,0.0,0.0,,
36005003500,1,18.24,0.27,0.0,1.0
36005003700,0,0.0,0.0,,
36005003800,0,0.0,0.0,,
36005003900,5,59.9,0.79,0.0,5.0
36005004001,0,0.0,0.0,,
36005004100,1,14.02,0.16,0.0,1.0
36005004200,0,0.0,0.0,,
36005004300,6,68.95,1.02,0.0,6.0
36005004400,0,0.0,0.0,,
36005004600,0,0.0,0.0,,
36005004800,0,0.0,0.0,,
36005005001,0,0.0,0.0,,
36005005002,0,0.0,0.0,,
36005005100,5,25.37,0.77,0.0,5.0
36005005200,0,0.0,0.0,,
36005005300,0,0.0,0.0,,
36005005400,0,0.0,0.0,,
36005005600,0,0.0,0.0,,
36005005902,0,0.0,0.0,,
36005006000,0,0.0,0.0,,
36005006100,0,0.0,0.0,,
36005006200,0,0.0,0.0,,
36005006301,11,36.42,1.68,0.0,11.0
36005006302,0,0.0,0.0,,
36005006400,0,0.0,0.0,,
36005006500,5,49.46,0.8,0.0,5.0
36005006700,7,85.35,1.02,0.0,7.0
36005006800,0,0.0,0.0,,
36005006900,3,41.33,0.43,0.0,3.0
36005007000,0,0.0,0.0,,
36005007100,8,78.41,2.87,0.0,8.0
36005007200,0,0.0,0.0,,
36005007300,1,18.48,0.24,0.0,1.0
36005007400,0,0.0,0.0,,
36005007500,1,11.38,0.15,0.0,1.0
36005007600,0,0.0,0.0,,
36005007700,0,0.0,0.0,,
36005007800,0,0.0,0.0,,
36005007900,0,0.0,0.0,,
36005008300,4,48.43,0.65,2.0,2.0
36005008400,0,0.0,0.0,,
36005008500,4,57.03,0.68,3.0,1.0
36005008600,0,0.0,0.0,,
36005008700,5,60.63,0.84,1.0,4.0
36005008900,2,46.97,0.64,0.0,2.0
36005009000,0,0.0,0.0,,
36005009200,0,0.0,0.0,,
36005009301,2,9.08,0.36,1.0,1.0
36005009302,3,4.41,5.86,0.0,3.0
36005009600,4,14.73,1.36,4.0,0.0
36005009800,0,0.0,0.0,,
36005011000,0,0.0,0.0,,
36005011502,2,15.4,0.45,0.0,2.0
36005011701,3,35.05,1.93,1.0,2.0
36005011702,0,0.0,0.0,,
36005011800,0,0.0,0.0,,
36005011900,1,15.51,0.18,1.0,0.0
36005012101,0,0.0,0.0,,
36005012102,1,52.17,0.62,1.0,0.0
36005012300,0,0.0,0.0,,
36005012500,0,0.0,0.0,,
36005012701,2,47.65,0.92,0.0,2.0
36005012901,2,33.13,0.41,0.0,2.0
36005013000,0,0.0,0.0,,
36005013100,2,22.43,0.37,0.0,2.0
36005013200,0,0.0,0.0,,
36005013300,0,0.0,0.0,,
36005013500,0,0.0,0.0,,
36005013800,0,0.0,0.0,,
36005014100,3,43.86,0.41,0.0,3.0
36005014300,0,0.0,0.0,,
36005014400,0,0.0,0.0,,
36005014500,0,0.0,0.0,,
36005014701,0,0.0,0.0,,
36005014702,0,0.0,0.0,,
36005014900,0,0.0,0.0,,
36005015100,1,12.4,0.17,0.0,1.0
36005015200,0,0.0,0.0,,
36005015300,0,0.0,0.0,,
36005015500,0,0.0,0.0,,
36005015700,0,0.0,0.0,,
36005015800,0,0.0,0.0,,
36005015900,1,25.0,0.4,0.0,1.0
36005016000,0,0.0,0.0,,
36005016100,0,0.0,0.0,,
36005016200,0,0.0,0.0,,
36005016300,0,0.0,0.0,,
36005016400,0,0.0,0.0,,
36005016500,0,0.0,0.0,,
36005016600,0,0.0,0.0,,
36005016700,0,0.0,0.0,,
36005016900,0,0.0,0.0,,
36005017100,0,0.0,0.0,,
36005017300,1,15.67,0.16,0.0,1.0
36005017500,0,0.0,0.0,,
36005017701,0,0.0,0.0,,
36005017702,0,0.0,0.0,,
36005017901,0,0.0,0.0,,
36005017902,1,33.4,0.29,0.0,1.0
36005018101,0,0.0,0.0,,
36005018102,0,0.0,0.0,,
36005018301,0,0.0,0.0,,
36005018302,0,0.0,0.0,,
36005018400,0,0.0,0.0,,
36005018501,0,0.0,0.0,,
36005018502,0,0.0,0.0,,
36005018900,0,0.0,0.0,,
36005019300,0,0.0,0.0,,
36005019400,0,0.0,0.0,,
36005019500,4,47.12,0.53,0.0,4.0
36005019700,2,34.98,0.28,0.0,2.0
36005019900,0,0.0,0.0,,
36005020000,0,0.0,0.0,,
36005020100,0,0.0,0.0,,
36005020200,0,0.0,0.0,,
36005020400,0,0.0,0.0,,
36005020501,0,0.0,0.0,,
36005020502,0,0.0,0.0,,
36005020601,0,0.0,0.0,,
36005020900,1,19.55,0.21,0.0,1.0
36005021001,0,0.0,0.0,,
36005021002,0,0.0,0.0,,
36005021100,0,0.0,0.0,,
36005021200,0,0.0,0.0,,
